datetime,open,high,low,close,atr,upperband,lowerband,signals,SMA_5,SMA_7,SMA_21,5_21_SMA_Trend
2025-04-16 11:27,23330.45,23334.95,23329.55,23333.45,6.701799482020465,23338.66882374704,23312.144601553937,1,23332.55,23331.971428571433,23322.495238095238,UP
2025-04-16 11:28,23333.0,23336.35,23331.15,23335.0,6.594522467761905,23338.66882374704,23313.966432596717,1,23332.859999999997,23332.714285714286,23324.52619047619,UP
2025-04-16 11:29,23334.9,23334.9,23320.9,23323.55,7.130654098769478,23338.66882374704,23313.966432596717,1,23330.81,23331.614285714284,23325.35714285714,UP
2025-04-16 11:30,23322.7,23328.6,23322.15,23327.0,7.082033751575152,23338.66882374704,23313.966432596717,1,23330.0,23330.692857142858,23326.27857142857,UP
2025-04-16 11:31,23326.75,23330.25,23326.2,23328.65,6.865450823361476,23338.66882374704,23313.966432596717,1,23329.530000000002,23329.95714285714,23327.190476190477,UP
2025-04-16 11:32,23327.95,23332.65,23325.5,23328.35,6.885776556585458,23338.66882374704,23313.966432596717,1,23328.510000000002,23329.571428571428,23327.890476190478,UP
2025-04-16 11:33,23326.15,23329.35,23324.2,23324.65,6.76178803045812,23338.66882374704,23313.966432596717,1,23326.44,23328.664285714283,23328.402380952382,DOWN
2025-04-16 11:34,23325.4,23327.4,23323.6,23326.45,6.55022463420638,23338.66882374704,23313.966432596717,1,23327.02,23327.664285714283,23329.057142857142,DOWN
2025-04-16 11:35,23326.85,23328.0,23318.85,23324.65,6.735928668449224,23338.66882374704,23313.966432596717,1,23326.55,23326.18571428571,23329.333333333332,DOWN
2025-04-16 11:36,23323.35,23333.55,23323.05,23332.6,7.004798695781799,23338.66882374704,23313.966432596717,1,23327.34,23327.47857142857,23329.771428571425,DOWN
2025-04-16 11:37,23333.65,23335.75,23330.35,23333.5,6.890167133761709,23338.66882374704,23313.966432596717,1,23328.370000000003,23328.407142857144,23330.12142857143,DOWN
2025-04-16 11:38,23333.5,23334.25,23322.15,23322.95,7.262307348795045,23338.66882374704,23313.966432596717,1,23328.03,23327.59285714286,23329.938095238093,DOWN
2025-04-16 11:39,23322.6,23323.6,23320.1,23321.45,6.993564875952732,23338.66882374704,23313.966432596717,1,23327.03,23326.60714285714,23329.583333333332,DOWN
2025-04-16 11:40,23321.3,23321.7,23316.0,23320.9,6.90116539464207,23338.66882374704,23313.966432596717,1,23326.280000000002,23326.071428571428,23328.909523809525,DOWN
2025-04-16 11:41,23320.6,23322.65,23317.3,23318.05,6.790365650426823,23338.66882374704,23313.966432596717,1,23323.370000000003,23324.87142857143,23328.16904761905,DOWN
2025-04-16 11:42,23316.8,23325.8,23316.8,23325.8,6.948199606640442,23338.66882374704,23313.966432596717,1,23321.829999999998,23325.035714285714,23327.97857142857,DOWN
2025-04-16 11:43,23325.25,23331.4,23323.5,23331.1,7.0161865214676045,23338.66882374704,23313.966432596717,1,23323.46,23324.821428571428,23327.97142857143,DOWN
2025-04-16 11:44,23331.25,23334.2,23329.6,23333.95,6.84359900623019,23338.66882374704,23313.966432596717,1,23325.96,23324.885714285716,23327.995238095238,DOWN
